id_from	id_to	cat_from	cat_to	edge_betweenness
B008CXLPAG	B000EGKTGK	industrial	hpc	7.439228697078989e-05
B01G4CZO12	B075L8HRL3	electronics	kitchen	0.00044616674389166936
B075L8HRL3	B0009N8L8G	kitchen	pc	0.00022313946532575568
B075L8HRL3	B01KUIPERA	kitchen	tools	7.439228697078989e-05
B075L8HRL3	B00006JD3S	kitchen	electronics	7.439228697078989e-05
B01M9GS3K5	B00EI9PE96	kitchen	jewelry	7.439228697078989e-05
B0778GG1H6	B07J3254KR	shoes	sports	1.0595416207300839e-07
109030403X	B00S9LRTIS	books	hpc	6.232597769000493e-08
B07BM7CQTF	B01DU8TQM6	pet-supplies	garden	0.00126297361191026
0762445262	B07GW3PL99	english-books	dvd	0.00029749435670993154
B076CDQMQ9	B079CKDF91	baby	apparel	7.439228697078989e-05
B07D7F47B6	B07MZ91J61	apparel	sports	7.439228697078989e-05
B07MZ91J61	B076BPP1Y8	sports	apparel	7.439228697078989e-05
B07MZ91J61	B071SHMT93	sports	apparel	7.439228697078989e-05
B074P6SFBV	B0055QS6AK	hpc	sports	0.00014877210874604177
B07M91KBJ6	B07M5K6M44	musical-instruments	electronics	0.0001487721087460418
B00A6A9M26	B01E5NK5SY	jewelry	kitchen	6.232597769000494e-09
B07FF1BZL3	B07GGQ6VN7	jewelry	apparel	7.439228697078989e-05
B07DPPV4PQ	B00EWJCMO2	apparel	lighting	1.3711715091801085e-07
B00BERS1SQ	B07CLPYK1P	appliances	lighting	0.00037183678289856944
B07CLPYK1P	B07GR2XB7G	lighting	tools	7.439228697078989e-05
B07CLPYK1P	B0761VB5TR	lighting	sports	7.439228697078989e-05
B07GRXJ2ZY	B00DKUN0V8	lighting	kitchen	7.439228697078989e-05
B07NY7WB2C	B07HG3JPC5	beauty	garden	7.439228697078989e-05
B07NY7WB2C	B07N1D9MZD	beauty	electronics	0.00014877210874604177
B00D4NZPKU	B07K32QK9K	kitchen	sports	6.232597769000494e-09
B005F40TMA	B06WVG2VFF	industrial	electronics	7.439228697078989e-05
B01ITRAVMM	B07CZDL1RJ	hpc	sports	4.986078215200395e-08
B007427SAC	B07K6N4RY3	garden	lighting	0.00044616674389166936
B07CY5DR1D	B071FSYM2V	garden	kitchen	0.0005947892702912551
B07CY5DR1D	B076H7K8JS	garden	kitchen	0.00037183678289856944
B079P3YQXV	B07PGS9MRQ	hpc	beauty	0.00037183678289856944
B00CEPU5FY	B07MWFCVC1	garden	toys	0.00029749435670993154
B0736H6SVV	B00WNS52S2	luggage	apparel	7.439228697078989e-05
0747521344	B00VYOPUVK	english-books	books	3.739558661400296e-08
B00CMC5R3E	B07G5M3X9T	toys	jewelry	7.43922869707899e-05
B07G5M3X9T	1727407431	jewelry	books	7.43922869707899e-05
B07G5M3X9T	B011V7GGR6	jewelry	apparel	0.0002974943567099316
B07G5M3X9T	B00CMC448S	jewelry	kitchen	7.43922869707899e-05
B008MIRQUE	B0176JJ91S	tools	electronics	7.439228697078989e-05
B008MIRQUE	B01EUGUSLA	tools	appliances	7.439228697078989e-05
B008GJHB8G	B07PFV87GH	office	luggage	7.439228697078989e-05
B001JKAGX6	B016MXUL9S	office	kitchen	3.1162988845002466e-08
B00LIXZ3P0	B017L0A6K0	office	kitchen	3.1162988845002466e-08
B00LIXZ3P0	B00RO1CD9O	office	kitchen	3.1162988845002466e-08
B00WM541MO	B07K6N4RY3	tools	lighting	0.0005204842396892312
B077GVCF5P	B07DMF77LJ	apparel	videogames	0.00014877210874604177
B077GVCF5P	B07N4G817J	apparel	beauty	7.439228697078989e-05
B0000WS6QI	B00OOR1WR0	electronics	musical-instruments	0.0005204842396892312
B0000WS6QI	B074D5NXT7	electronics	musical-instruments	7.439228697078989e-05
